Nome Fantasia;Razão Social;CNPJ/CPF;Telefone;E-mail;Cidade;Estado;Endereço;Número;Bairro;CEP;Status;Data Cadastro
DENYS;DENYS;—;34998651112;—;UBERLANDIA;MG;—;—;—;—;approved;22/07/2026
DURAN & SPAGNOL CHAVEIRO 24HORAS;DURAN & SPAGNOL CHAVEIRO 24HORAS;—;(16) 99961-4557;—;RIBEIRÃO PRETO;SP;R. AURORA;1043;VILA TIBERIO;14050-100;approved;15/07/2026
DURAN SPAGNOL;DURAN SPAGNOL;—;1699961-4557;—;RIBEIRÃO PRETO;SP;—;—;—;—;approved;09/07/2026
ELDER CHAVEIRO;ELDER CHAVEIRO;—;61974006924;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
ENIGMA;ENIGMA;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
FRANK CHAVEIRO;FRANK CHAVEIRO;—;—;—;SÃO JOSÉ DO RIO PRETO;SP;—;—;—;—;approved;13/08/2026
JAFFAS;JAFFAS;—;61984901457;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
JR CHAVEIRO;JR CHAVEIRO;—;17-99123-5061;—;BARRETOS;SP;—;—;—;—;approved;21/07/2026
LB CHAVES;LB CHAVES;—;34998651112;—;RIBEIRÃO PRETO;SP;—;—;—;—;approved;09/07/2026
LUNAR SOM;LUNAR SOM;—;—;—;—;—;—;—;—;—;approved;12/08/2026
MAGAIVER;MAGAIVER;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
MARCÃO CHAVE;MARCÃO CHAVE;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
MARIO CHAVEIRO;MARIO CHAVEIRO;—;17991422550;—;SAO JOSE DO RIO PRETO;SP;—;—;—;—;approved;22/07/2026
OPÇÃO CHAVEIRO;OPÇÃO CHAVEIRO;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;28/07/2026
RAFA SOUND;RAFA SOUND;—;16981170557;—;RIBEIRÃO PRETO;SP;—;—;—;—;approved;09/07/2026
SOM MAIS;SOM MAIS;—;34998651112;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
SOS CHAVES;SOS CHAVES;—;34998651112;—;UBERABA;MG;—;—;—;—;approved;10/07/2026
TAGUÁ CHAVES;TAGUÁ CHAVES;—;61974008512;—;BRASILIA;DF;—;—;—;—;approved;29/07/2026
TESTE;TESTESTE;—;34998651112;—;TESTE;—;—;—;—;—;approved;21/07/2026
